specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
636257179753539584,1237654606388331002,0.4088132,0.0001191651,22.22739,20.80988,18.95375,18.22868,17.88891,0.439724,0.06315275,0.01757155,0.01433099,0.03406915
640763803692197888,1237654605855392002,0.1352618,8.893227E-06,19.59048,18.23264,17.55626,17.12079,16.88252,0.05233308,0.008508244,0.007054811,0.0067351,0.01942974
1048276079128635392,1237658192147055002,0.2667048,5.194836E-05,20.99563,19.44754,17.88388,17.30925,17.00504,0.1892598,0.0217859,0.009862001,0.00833369,0.02324684
1100101281319512064,1237659326571807002,0.08156251,1.89575E-05,19.45877,17.42526,16.48295,15.9785,15.6281,0.05039744,0.005690068,0.004061529,0.003994153,0.007657255
1396141768877041664,1237658425164497002,0.05572309,7.986921E-06,18.5304,17.34586,16.91026,16.60233,16.47406,0.03553111,0.00637415,0.006101116,0.006562545,0.01736952
1503217435380049920,1237661387614585002,0.07674542,7.093223E-06,18.03586,16.97024,16.55591,16.24543,16.09565,0.02215199,0.0048969,0.004878281,0.005212219,0.01912178
1522389069793880064,1237661852020638002,0.1136274,5.082322E-05,20.40225,18.68295,17.78563,17.36437,17.03361,0.0863667,0.01047526,0.00735619,0.007685886,0.01701698
1864621146889021440,1237662224625697002,0.08962618,2.825503E-05,19.41694,17.67341,16.73412,16.27031,15.88805,0.06638175,0.008002552,0.005669359,0.005605896,0.01350932
1895035286153357312,1237662302445765002,0.03316578,5.668939E-06,18.50596,17.42208,17.01929,16.76426,16.60868,0.02537629,0.005204975,0.005147885,0.005413699,0.01655961
2179870368620111872,1237664093439525002,0.0223101,3.014231E-05,19.67397,17.98697,17.31607,16.97741,16.74169,0.07046086,0.007616957,0.006497793,0.006732853,0.02000351
2286719542908446720,1237665026519335002,0.06696609,5.307639E-06,18.12902,16.88172,16.3214,15.91167,15.71087,0.02087465,0.004278167,0.003761814,0.003841322,0.007940769
2903856181816616960,1237670965387133002,0.04871557,9.765479E-06,19.83227,18.2217,17.60873,17.23337,17.03842,0.07157087,0.0089585,0.008354969,0.008462085,0.02663577
3096262748137351168,1237668331492344002,0.07616883,2.140087E-05,19.99526,18.11671,17.25795,16.85321,16.56705,0.06271928,0.007555133,0.005859841,0.006291708,0.01464284
519187773412894720,1237652901845074002,0.138547,2.185167E-05,20.15504,18.55387,17.63257,17.21102,16.89131,0.09536811,0.01078294,0.007986025,0.008510034,0.02168367
697062368957458432,1237651539261260002,0.1132042,1.586116E-05,19.80812,18.37743,17.70811,17.30835,17.02813,0.06485129,0.009347276,0.008396564,0.009371072,0.03004285
717285963184760832,1237652933495096002,0.08156896,6.813347E-06,19.68554,17.91964,16.89241,16.2799,15.86013,0.09975787,0.01109067,0.007182957,0.00668123,0.01570038
719473715976366080,1237652933497455002,0.1967761,1.348064E-05,20.25185,18.70636,17.78879,17.26772,17.00604,0.1172721,0.01441325,0.009671085,0.009666778,0.0271911
1344443281374734336,1237660412649931002,0.2235091,3.896804E-05,20.83849,18.79923,17.41172,16.88755,16.52455,0.1482779,0.01225592,0.00744757,0.007238669,0.01902754
1354466428803115008,1237660958641685002,0.1983658,9.818968E-06,19.53375,18.48187,17.75293,17.3663,17.14867,0.04341481,0.0100195,0.007530776,0.007727888,0.01803079
1378146062585325568,1237658492276900002,0.2240045,4.794862E-05,21.15891,19.069,17.69852,17.17146,16.83768,0.1855737,0.0158905,0.007852647,0.006865022,0.01651969
1381530633716656128,1237658492278735002,0.1027536,3.269688E-05,18.87939,16.81385,15.82918,15.4007,15.00922,0.07036102,0.006428093,0.004312876,0.004066443,0.008949838
1820721763697321984,1237661971716178002,0.1307709,2.28877E-05,18.96226,17.4593,16.59507,16.20414,15.87921,0.08230273,0.009548758,0.007109495,0.006864155,0.01932086
2007573598952253440,1237663916268192002,0.02515773,1.127434E-05,16.92472,15.3467,14.67578,14.30849,14.05525,0.01325953,0.002573754,0.002340873,0.002377423,0.004230108
2035767014487779328,1237661972270416002,0.1109152,9.195404E-06,19.51656,18.1758,17.52402,17.15354,16.88246,0.05980393,0.008585786,0.007044253,0.007444092,0.01747583
2105586814180943872,1237663916266357002,0.09833775,2.482116E-05,19.74298,17.97052,17.03895,16.54265,16.15003,0.1030444,0.009967331,0.007221536,0.007116683,0.01634901
2228281867285587968,1237665368507941002,0.02396615,1.06546E-05,17.57765,15.89415,15.12283,14.71294,14.3772,0.01636474,0.002979782,0.002556004,0.002582243,0.004883721
2280003993767798784,1237665128535294002,0.163141,2.901031E-05,20.45661,18.57068,17.42611,16.98716,16.62208,0.1034418,0.009752265,0.006504294,0.006405521,0.01618305
2586209466038904832,1237665367961764002,0.0714699,2.269956E-05,19.23417,17.94999,17.26623,16.91882,16.65353,0.05684222,0.00962554,0.007979186,0.008553124,0.02250358
2944370168605730816,1237668272431956002,0.07599533,7.613033E-06,18.68945,17.31314,16.92611,16.50784,16.1445,0.03742441,0.005679668,0.005832411,0.005804223,0.01597422
3105383751559964672,1237668299289592002,0.1222128,4.389596E-06,19.60316,18.0551,17.5403,17.18805,17.01519,0.07255387,0.00811414,0.007425931,0.007688803,0.02137725
448217594344794112,1237663204922360002,0.04730277,6.863569E-05,19.08727,17.56866,16.95192,16.68331,16.51441,0.09095971,0.01191054,0.01017977,0.01276071,0.03731968
525833221540177920,1237648720672588002,0.1552024,2.676255E-05,20.61432,18.47643,17.3227,16.84297,16.68176,0.1033201,0.01001682,0.005920421,0.005571344,0.01448462
558564309769152512,1237651272976761002,0.1025096,2.724243E-05,20.37957,18.61745,17.6695,17.20304,16.8957,0.08483663,0.009780764,0.006958718,0.006594928,0.01678076
662091301939865600,1237654879666766002,0.06624847,1.692949E-05,20.10843,18.22447,17.35231,16.87317,16.52048,0.08684845,0.009405127,0.006560216,0.00619133,0.0134021
730726393775679488,1237652946377638002,0.1800371,3.621601E-05,20.54409,18.54039,17.38246,16.87195,16.52361,0.1317523,0.01195813,0.006713927,0.006711961,0.01631119
1055018560784459776,1237657873790796002,0.2636379,4.345077E-05,20.42187,18.86134,17.68554,17.21581,16.82242,0.1182164,0.01502188,0.008595817,0.008189999,0.01947533
1191284057334376448,1237662501083087002,0.1406122,3.539781E-05,19.97964,18.21189,17.28932,16.86773,16.56746,0.1008406,0.009598403,0.006620224,0.006914384,0.01738694
1494092587659716608,1237661416067367002,0.1908443,5.645496E-05,20.44692,18.6111,17.38627,16.89048,16.54545,0.1047775,0.01157757,0.006642215,0.006610815,0.01527975
1521118308743538688,1237661871880012002,0.1910354,4.007711E-05,20.42769,18.73659,17.60609,17.07301,16.7284,0.1127299,0.01219894,0.007615772,0.007020535,0.01535529
1525639501110601728,1237661850412450002,0.08343371,9.74286E-06,18.82803,17.58425,17.09159,16.76886,16.59534,0.0321803,0.005899481,0.005448305,0.005807705,0.01470512
1824073900191934464,1237658424097440002,0.22821,6.090434E-05,21.56124,19.08689,17.63104,17.12797,16.80929,0.3157197,0.01674743,0.007944096,0.007047161,0.01813066
2173119642388686848,1237664093972988002,0.05119108,8.67669E-06,17.79333,16.01299,15.39077,14.94784,14.29141,0.01968848,0.003862474,0.00311732,0.003244358,0.004393653
2260874416294488064,1237665367972774002,0.1829472,1.933863E-05,19.69434,18.23377,17.19561,16.72232,16.39848,0.06018339,0.00888904,0.005965414,0.005964603,0.01330616
2796750556406769664,1237668290698150002,0.1327939,3.076295E-05,20.40612,18.64568,17.70564,17.29491,16.98073,0.07872864,0.009006969,0.006456605,0.006555601,0.01400105
2809165967349803008,1237668293373264002,0.09168317,1.314854E-05,18.8466,17.54812,16.85099,16.45382,16.20093,0.0415971,0.007068087,0.005898246,0.006160406,0.01733792
2817022802647869440,1237667915416142002,0.0226945,1.170955E-05,16.84262,15.60458,15.03429,14.72651,14.49307,0.01791055,0.003304385,0.00308004,0.003197832,0.007741237
3327190981664598016,1237655470212973002,0.1369631,3.820581E-05,20.99598,18.99446,17.95947,17.46684,17.06025,0.1738551,0.01365993,0.008402752,0.008085738,0.01828292
394118322079164416,1237671940341498002,0.07649134,2.285583E-05,19.35058,17.50807,16.73277,16.36997,16.08561,0.05730077,0.005872661,0.004685122,0.004698427,0.01179893
454891355433363456,1237663783674446002,0.06584021,6.787455E-06,19.02569,17.99864,17.66514,17.41947,17.24856,0.03506222,0.009189776,0.01200469,0.01026502,0.02918294
518046480578144256,1237649962992337002,0.04205548,7.929601E-06,18.00836,16.92316,16.41348,16.09702,15.88281,0.03286315,0.006420517,0.006406408,0.007090489,0.0227678
681198620174739456,1237654342790611002,0.1421938,4.042109E-05,20.34361,18.49103,17.56656,17.15122,16.83552,0.08222719,0.009881605,0.006967863,0.007324894,0.0172486
686821242778445824,1237671940871029002,0.3361176,7.338737E-05,22.0979,20.4046,18.72635,18.11217,17.70437,0.2870283,0.03021163,0.01195564,0.01144716,0.02438362
806270264340932608,1237680241437049002,0.06439333,1.170004E-05,19.57223,17.95327,17.13105,16.69445,16.38108,0.09086848,0.009004958,0.007120369,0.007012174,0.0162248
815266194457126912,1237680240906404002,0.07783809,7.715304E-06,19.21362,17.91577,17.39354,17.05726,16.90847,0.06396896,0.008878073,0.008155524,0.008804124,0.02607054
852312039463348224,1237674368067568002,0.1416717,2.615438E-05,20.93094,18.69814,17.58827,17.0989,16.72379,0.1257792,0.00953155,0.006074076,0.005730644,0.01098833
