specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
327766097853966336,1237671764786807001,0.08962411,2.075775E-05,19.02109,17.57891,16.84002,16.4579,16.17329,0.05607113,0.007449658,0.006045149,0.006671444,0.01604509
328870002176321536,1237671763713065001,0.1211088,3.377517E-05,20.54808,18.47725,17.45521,17.01299,16.71345,0.1177734,0.009857439,0.006681337,0.006660916,0.01632817
1850022649586018304,1237662226225103001,0.09457245,1.696217E-05,19.10174,17.36844,16.4939,16.12438,15.82149,0.03851885,0.005117985,0.003989193,0.004223231,0.008908415
1864555176191354880,1237662224625828001,0.08703969,1.683265E-05,18.98838,17.09939,16.11854,15.69817,15.3357,0.03460854,0.004733574,0.003555762,0.003549505,0.007102034
2728111893859297280,1237670964842005001,0.1014367,2.820406E-05,20.70873,18.63671,17.66775,17.2389,16.88099,0.09773197,0.00962904,0.006660291,0.006711785,0.01531651
2794633447287580672,1237668294444385001,0.4162762,9.521151E-05,22.62468,20.86995,19.03921,18.39248,17.98674,0.5447492,0.05650425,0.01774564,0.01608678,0.0369285
2814875181527361536,1237667736114299001,0.04701531,1.124165E-05,18.12146,16.95887,16.44216,16.1227,15.90153,0.02096617,0.004680124,0.004219471,0.004591997,0.01009952
2829543765532764160,1237667736117117001,0.1001602,6.081238E-06,19.14454,18.01282,17.70702,17.43973,17.36454,0.04276646,0.009518788,0.00927869,0.01136559,0.03212247
2896960319647672320,1237671260660892001,0.0964298,1.355767E-05,19.24049,17.75799,17.00476,16.60251,16.33654,0.07313761,0.007708478,0.005974327,0.006007165,0.01337698
2900338844421351424,1237671260663841001,0.09663449,8.637729E-06,19.62682,18.29463,17.61663,17.2422,16.96059,0.0553326,0.009017469,0.008044361,0.008776122,0.0164143
3136894105829795840,1237667912215757001,0.1298389,1.150042E-05,19.4985,18.37068,17.60173,17.14007,16.8905,0.04353987,0.008439999,0.006409333,0.006322251,0.0129897
3243733650063255552,1237655106765259001,0.06141767,2.048674E-05,20.28488,18.44699,17.60685,17.17313,16.846,0.08300598,0.01082972,0.007327822,0.006986165,0.0163476
413240483687458816,1237651212289049001,0.2704019,4.204153E-05,22.44536,19.76616,18.0924,17.47306,17.13407,0.6381924,0.02851079,0.01100193,0.0100631,0.02900916
586601587070232576,1237671266571387001,0.084983,2.102215E-05,20.00172,18.23854,17.4312,17.06205,16.78117,0.04905793,0.007299757,0.005621928,0.005949349,0.01153703
664433811664168960,1237651823251620001,0.08064719,1.834825E-05,19.53053,17.78585,16.88858,16.44926,16.14861,0.05215376,0.006678023,0.004940888,0.005039813,0.01100269
680145833194186752,1237654610682577001,0.1045206,1.193249E-05,19.60999,18.24541,17.60461,17.22729,17.00791,0.05945782,0.01006123,0.008336772,0.008972107,0.02508277
1473964377727068160,1237657612338594001,0.124144,2.552651E-05,19.51913,17.60834,16.54266,16.13359,15.75792,0.06278709,0.006166414,0.0043603,0.004373287,0.01038679
1532502931327182848,1237661850924876001,0.1812516,3.076084E-05,20.60294,18.60154,17.52587,17.07906,16.76653,0.1211884,0.01138506,0.007282954,0.006922533,0.01739678
1798154285641394176,1237661068175606001,0.161439,3.479713E-05,20.66769,18.44449,17.24813,16.74951,16.40928,0.1011899,0.009816631,0.005745421,0.005591306,0.01214925
1914031549653739520,1237661816028922001,0.1298196,4.279644E-05,20.23912,18.57156,17.60623,17.21763,16.85804,0.07856066,0.0107427,0.006926248,0.006963265,0.01397552
1955852016672598016,1237651497368617001,0.2298437,8.257246E-06,19.82578,18.98911,18.40559,18.03686,17.92339,0.05756484,0.01286457,0.01131897,0.01160182,0.03528187
2281207413942020096,1237665127999144001,0.06243845,8.052451E-06,18.87338,17.96487,17.61592,17.31385,17.19682,0.02222528,0.00580778,0.00578089,0.00607095,0.01588895
2553607570946287616,1237667292644508001,0.1803018,3.045043E-05,20.73918,18.73066,17.41102,16.89611,16.51196,0.127612,0.01157549,0.006464601,0.006200403,0.01385514
2568226128279922688,1237667292650013001,0.08403753,6.597481E-06,19.45315,18.31413,17.63194,17.14899,16.86986,0.03327205,0.007255124,0.005976303,0.005604833,0.01325799
2738310412335343616,1237667429017453001,0.1110874,2.617771E-05,19.92344,18.30609,17.47345,17.05219,16.74144,0.07943565,0.0105119,0.00766814,0.008989619,0.02365658
2929720270073653248,1237668625163813001,0.07846165,1.731977E-05,18.69052,16.75761,15.80284,15.34868,15.01827,0.03115906,0.004211284,0.003210973,0.003356111,0.006004554
2930879160865810432,1237668625164927001,0.03184951,7.717159E-06,17.22686,16.23249,15.70033,15.42784,15.20161,0.01118956,0.003266321,0.002980195,0.003300728,0.006711934
2940888015230232576,1237667914347643001,0.1191979,2.324109E-05,20.08108,18.16554,17.13037,16.71244,16.34681,0.06973214,0.008178265,0.005465046,0.005286507,0.01037837
3322542247005677568,1237662266468467001,0.08059991,3.215172E-05,21.00379,19.01215,18.00025,17.50396,17.11301,0.1018998,0.01133977,0.007554638,0.007116485,0.0151717
327800182714427392,1237671763712934001,0.08240224,7.194458E-06,19.30893,17.82627,17.18959,16.80978,16.55075,0.05969525,0.008499534,0.007803721,0.007886135,0.02496338
334512426844186624,1237651504879436001,0.08371294,4.042011E-05,21.37841,18.65723,17.61775,17.07592,16.62651,0.2230024,0.01131891,0.007772929,0.007461532,0.01899726
335667188864149504,1237651504880550001,0.06145182,8.516992E-06,18.26602,17.09487,16.59372,16.26788,16.04238,0.02788931,0.005671841,0.005360318,0.005992671,0.01954369
335682032271124480,1237648704586318001,0.2081211,3.661093E-05,20.78161,18.41754,17.09581,16.58287,16.22592,0.1357242,0.01015035,0.005704902,0.005325689,0.01300786
336763122314405888,1237648704586580001,0.1461147,2.343219E-05,20.60113,18.52185,17.42303,16.92171,16.55976,0.1097784,0.009732499,0.006192658,0.005872275,0.01505254
495541675926513664,1237651496297169001,0.1698159,2.785748E-05,20.20599,18.33409,17.16354,16.65059,16.316,0.1128846,0.01169315,0.006864213,0.006335312,0.01723884
502234953195481088,1237651496836006001,0.08241112,1.657324E-05,18.74219,16.86869,15.91313,15.43234,15.10465,0.0391256,0.004874683,0.003608536,0.003699524,0.007492449
635157118353172480,1237654601555444001,0.06518205,9.211713E-06,18.56383,16.69941,15.82816,15.42881,15.10652,0.02402299,0.003816192,0.003118044,0.003059749,0.006137954
677815143303768064,1237651249890853001,0.1922155,3.032659E-05,20.64768,18.60679,17.32755,16.84358,16.52868,0.1320213,0.01217602,0.006585772,0.00594958,0.01378956
739829250139383808,1237652949068284001,0.07867519,1.234074E-05,18.72349,17.35529,16.61001,16.17956,15.89648,0.03732136,0.005823935,0.004619157,0.004912594,0.0114955
749919467877722112,1237670955716772001,0.3373682,6.916842E-05,23.2346,20.52152,18.79285,18.12231,17.80674,1.421039,0.05438434,0.01836052,0.01512443,0.03852419
1600015695762974720,1237662474232398001,0.04546021,9.507166E-06,19.45306,17.81181,17.41118,17.13838,17.07831,0.07621329,0.007940619,0.008742735,0.009110996,0.03492697
1603418405396834304,1237662474236003001,0.05787023,1.645025E-05,19.1859,17.7213,17.19016,16.92724,16.7144,0.07396872,0.009865348,0.008335466,0.009443068,0.03274595
1854514710850856960,1237662663746847001,0.3156765,5.407135E-05,22.22999,19.83156,18.21763,17.62996,17.27132,0.3843558,0.02183727,0.009604053,0.009413731,0.02165284
1857861068500527104,1237662663749665001,0.1122183,3.230194E-05,20.51312,18.49049,17.46515,17.00583,16.60088,0.08369645,0.008595293,0.005912282,0.006271436,0.01289148
2262021214153238528,1237665443127034001,0.1983677,4.794306E-05,19.69402,18.25002,17.28583,16.85938,16.59239,0.1133649,0.01224698,0.008173236,0.009211492,0.02622212
2418469909471193088,1237665531179041001,0.102035,2.187484E-05,19.93333,18.01188,17.00731,16.57175,16.23345,0.06436104,0.007269981,0.005150647,0.005115203,0.01063734
2420699443905980416,1237665531180024001,0.06535198,1.396032E-05,18.3918,16.82882,16.0327,15.64648,15.35002,0.02824725,0.004450407,0.003601381,0.003703593,0.007734458
